date, pm25, pm10, o3, no2, so2, co
2024/4/1, 48, 30, , 13, 13, 3
2024/4/2, 45, 29, , 12, 13, 3
2024/4/3, 43, , , , , 
2024/4/5, 17, 15, , 15, 12, 2
2024/4/6, 21, 12, , 15, 11, 2
2024/4/7, 18, , , , , 
2024/4/13, 43, 40, , 15, 12, 2
2024/4/14, 61, 36, , 15, 12, 2
2024/4/15, 55, 30, , 15, 12, 2
2024/4/16, 46, 27, , 16, 12, 2
2024/4/17, 40, 28, , 15, 12, 2
2024/4/18, 43, 32, , 15, 13, 2
2024/4/19, 48, , , , , 
2024/1/1, 144, 64, , 16, 13, 5
2024/1/2, 114, 62, , 16, 13, 3
2024/1/3, 91, 27, , 16, 13, 3
2024/1/4, 40, 27, , 15, 13, 3
2024/1/5, 38, 23, , 16, 13, 2
2024/1/6, 32, 26, , 16, 13, 1
2024/1/7, 39, 21, , 16, 13, 2
2024/1/8, 30, 31, , 15, 13, 3
2024/1/9, 46, 33, , 16, 13, 2
2024/1/10, 52, 23, , 16, 13, 1
2024/1/11, 33, 22, , 15, 13, 1
2024/1/12, 31, 32, , 15, 13, 2
2024/1/13, 46, 26, , 15, 13, 2
2024/1/14, 38, 19, , 15, 13, 1
2024/1/15, 25, 18, , 15, 13, 1
2024/1/16, 24, 24, , 16, , 4
2024/1/17, 34, , , , , 
2024/1/25, 7, 6, , 16, 10, 3
2024/1/26, 9, 9, , 16, 10, 3
2024/1/27, 13, 6, , 15, 10, 3
2024/1/28, 9, 13, , 16, 10, 2
2024/1/29, 19, 29, , 15, 10, 4
2024/1/30, 43, 35, , 15, 11, 4
2024/1/31, 56, 45, , 15, 11, 3
2024/2/1, 80, 40, , 15, 11, 3
2024/2/2, 70, 25, , 15, 11, 2
2024/2/3, 57, 33, , 15, 10, 2
2024/2/4, 57, 25, , 15, 11, 2
2024/2/5, 37, 17, , 15, 10, 1
2024/2/6, 26, 21, , 11, 11, 2
2024/2/7, 32, 22, , 14, 10, 2
2024/2/8, 33, 3, , 15, 10, 2
2024/2/9, 4, 5, , 16, 10, 2
2024/2/10, 8, 11, , , , 2
2024/2/11, 19, 18, , 15, 11, 2
2024/2/12, 28, 29, , 14, 10, 2
2024/2/13, 40, 24, , 15, 11, 2
2024/2/14, 34, , , , , 
2024/2/19, 43, 38, , 13, 12, 3
2024/2/20, 62, 24, , 13, 11, 3
2024/2/21, 36, 21, , 13, 12, 3
2024/2/22, 30, 20, , 13, 11, 2
2024/2/23, 29, 18, , 14, 11, 2
2024/2/24, 28, 15, , 14, 11, 2
2024/2/25, 21, 19, , 13, 11, 3
2024/2/26, 32, 16, , 16, 11, 2
2024/2/27, 32, 12, , 14, 11, 3
2024/2/28, 17, 23, , 14, 11, 4
2024/2/29, 37, 14, , 15, 11, 2
2024/3/1, 21, 3, , 15, 11, 2
2024/3/2, 4, 6, , 13, 11, 3
2024/3/3, 9, 23, , 13, 11, 3
2024/3/4, 34, 42, , 13, 13, 4
2024/3/5, 63, 54, , 13, 14, 6
2024/3/6, 91, 48, , 14, 11, 2
2024/3/7, 88, 19, , 14, 11, 3
2024/3/8, 29, 22, , 14, 11, 3
2024/3/9, 33, 20, , 14, 11, 3
2024/3/10, 31, 11, , 15, 11, 3
2024/3/11, 16, 11, , 15, 11, 3
2024/3/12, 17, 22, , 13, 12, 3
2024/3/13, 33, 19, , 13, 12, 4
