date, pm25, pm10, o3, no2, so2, co
2024/4/1, 118, 72, 11, 1, 7, 7
2024/4/2, 103, 78, 11, 1, 8, 8
2024/4/3, 112, 73, 11, 1, 7, 8
2024/4/4, 100, 59, 11, 1, 8, 5
2024/4/5, 69, 54, 10, 1, 7, 6
2024/4/6, 63, 47, 10, 1, 7, 8
2024/4/7, 65, 48, 10, 1, 7, 7
2024/4/8, 45, 56, 6, 1, 7, 9
2024/4/9, 79, 67, 7, 1, 8, 11
2024/4/10, 99, 61, 10, 1, 8, 9
2024/4/11, 86, 61, 10, 1, 7, 6
2024/4/12, 72, 54, 10, 1, 7, 4
2024/4/13, 55, 59, 10, 1, 7, 5
2024/4/24, 136, 65, , 1, 8, 7
2024/4/25, 105, 75, 9, 1, 7, 9
2024/4/26, 114, 76, 9, 1, 8, 7
2024/4/27, 120, , , , , 
2024/1/1, 140, 65, 13, 27, 24, 8
2024/1/2, 98, 52, 11, 21, 23, 7
2024/1/3, 70, 64, 7, 31, 25, 10
2024/1/4, 122, 80, 12, 34, 24, 10
2024/1/5, 152, 66, 14, 28, 24, 8
2024/1/6, 106, 64, 14, 27, 23, 7
2024/1/7, 95, 64, 13, 23, 23, 7
2024/1/8, 90, 62, 9, 25, 23, 8
2024/1/9, 82, 55, 6, 22, 23, 9
2024/1/10, 83, 29, 5, 16, 23, 7
2024/1/11, 51, 16, 5, 15, 15, 7
2024/1/12, 31, 44, 5, 19, 8, 9
2024/1/13, 82, 62, 7, 22, 8, 9
2024/1/14, 116, 67, 6, 26, 8, 10
2024/1/15, 108, 68, 7, 31, 8, 10
2024/1/16, 100, 64, 5, 27, 9, 10
2024/1/17, 112, , , , , 
2024/1/24, 69, 49, 12, 15, 7, 5
2024/1/25, 90, 54, 10, 14, 7, 4
2024/1/26, 116, 46, 8, 13, 8, 5
2024/1/27, 112, 40, 11, 12, 8, 4
2024/1/28, 89, 50, 10, 18, 8, 7
2024/1/29, 117, 68, 6, 24, 8, 10
2024/1/30, 160, 79, 6, 25, 8, 13
2024/1/31, 175, 84, 6, 26, 8, 13
2024/2/1, 170, 83, 10, 23, 8, 11
2024/2/2, 145, 50, 6, 18, 8, 6
2024/2/3, 64, 45, 8, 16, 7, 5
2024/2/4, 60, 49, 7, 15, 7, 5
2024/2/5, 66, 54, 6, 9, 7, 8
2024/2/6, 79, 48, 5, 1, 8, 6
2024/2/7, 76, 28, 10, 1, , 4
2024/2/8, 59, 34, 17, 1, 7, 4
2024/2/9, 65, 58, 18, 5, 7, 4
2024/2/10, 142, 42, 16, 9, 7, 5
2024/2/11, 91, 54, 16, 11, 7, 4
2024/2/12, 113, 43, 13, 6, 7, 2
2024/2/13, 63, 43, 13, 6, 7, 3
2024/2/14, 59, 57, 9, 7, 7, 7
2024/2/15, 82, 63, 10, 6, 8, 7
2024/2/16, 118, 54, 11, 4, 8, 5
2024/2/17, 89, 48, 8, 4, 7, 4
2024/2/18, 68, 49, 6, 4, 7, 6
2024/2/19, 57, 52, 6, 3, 7, 5
2024/2/20, 75, 56, 7, 4, 7, 6
2024/2/21, 78, 55, 6, 4, 7, 8
2024/2/22, 70, 52, 6, 3, 7, 7
2024/2/23, 96, 17, 5, 2, 8, 4
2024/2/24, 38, 22, 5, 2, 8, 4
2024/2/25, 38, 34, 5, 3, 8, 5
