date, pm25, pm10, o3, no2, so2, co
2024/4/1, 83, 40, , 1, 13, 
2024/4/2, 65, 42, , 1, 13, 
2024/4/3, 70, 49, , 1, 12, 
2024/4/4, 78, 35, , 1, 13, 
2024/4/5, 52, 28, , 1, 13, 
2024/4/6, 43, 34, , 1, 13, 
2024/4/7, 51, 16, , 1, 13, 
2024/4/8, 24, 22, , 1, 13, 
2024/4/9, 31, 57, , , 13, 
2024/4/10, 75, 52, , 1, 14, 
2024/4/11, 72, 35, , , 13, 
2024/4/12, 54, 30, , , 13, 
2024/4/13, 47, 38, , 1, 13, 
2024/4/14, 61, 38, , 1, 13, 
2024/4/15, 60, 27, , , 13, 
2024/4/16, 42, 35, , , 13, 
2024/4/17, 55, 42, , 1, 13, 
2024/4/18, 57, 38, , 1, 13, 
2024/4/19, 58, 32, , 1, 13, 
2024/4/20, 51, 35, , , 13, 
2024/4/21, 50, 31, , , 14, 
2024/4/22, 49, 26, , 20, 14, 
2024/4/23, 41, 23, , 1, 14, 
2024/4/24, 34, 32, , 1, 13, 
2024/4/25, 51, 40, , 1, 13, 
2024/4/26, 66, 40, , 1, 13, 
2024/4/27, 68, , , , , 
2024/1/1, 75, 48, , 3, 9, 
2024/1/2, 81, 29, , 7, 10, 
2024/1/3, 46, 36, , 7, 11, 
2024/1/4, 63, 36, , 6, 9, 
2024/1/5, 56, 34, , 7, 9, 
2024/1/6, 55, 44, , 4, 9, 
2024/1/7, 70, 42, , 4, 9, 
2024/1/8, 66, 39, , 4, 9, 
2024/1/9, 60, 24, , 5, 10, 
2024/1/10, 37, 12, , 7, 8, 
2024/1/11, 18, 6, , 4, 8, 
2024/1/12, 10, 12, , 5, 8, 
2024/1/13, 18, 25, , 5, 8, 
2024/1/14, 37, 38, , 7, 10, 
2024/1/15, 58, 32, , 10, 10, 
2024/1/16, 47, 24, , 5, 9, 
2024/1/17, 36, , , , , 
2024/1/25, 54, 36, , 5, 8, 
2024/1/26, 59, 42, , 8, 8, 
2024/1/27, 63, 30, , 6, 8, 
2024/1/28, 45, 33, , 5, 8, 
2024/1/29, 51, 44, , 6, 8, 
2024/1/30, 69, 25, , 5, 8, 
2024/1/31, 39, 21, , 5, 9, 
2024/2/1, 32, 30, , 5, 10, 
2024/2/2, 47, 39, , 3, 9, 
2024/2/3, 59, 31, , 2, 9, 
2024/2/4, 50, 36, , 2, 10, 
2024/2/5, 57, 49, , 3, 9, 
2024/2/6, 79, 42, , 3, 9, 
2024/2/7, 65, 16, , 1, 8, 
2024/2/8, 25, 16, , 1, 8, 
2024/2/9, 25, 31, , 1, 10, 
2024/2/10, 53, 14, , 2, 10, 
2024/2/11, 25, 28, , 2, 10, 
2024/2/12, 48, 32, , 1, 10, 
2024/2/13, 49, 28, , 2, 10, 
2024/2/14, 44, 26, , 3, 10, 
2024/2/15, 41, 44, , 4, 10, 
2024/2/16, 73, 41, , 2, 10, 
2024/2/17, 65, 32, , 2, 10, 
2024/2/18, 51, 31, , 1, 10, 
2024/2/19, 50, 49, , 1, 10, 
2024/2/20, 76, 44, , 1, 11, 
2024/2/21, 70, 34, , 1, 10, 
2024/2/22, 52, 34, , 2, 10, 
2024/2/23, 50, 10, , 3, 9, 
2024/2/24, 15, 10, , 2, 9, 
2024/2/25, 15, 20, , 4, 10, 
2024/2/26, 31, 10, , 4, 9, 
2024/2/27, 16, 25, , 5, 9, 
2024/2/28, 37, 15, , 4, 9, 
2024/2/29, 22, 14, , 5, 9, 
2024/3/1, 20, 22, , 4, 9, 
2024/3/2, 36, 49, , 3, 10, 
2024/3/3, 82, 41, , 4, 10, 
2024/3/4, 66, 49, , 7, 11, 
2024/3/5, 81, 60, , 6, 12, 
2024/3/6, 110, 44, , 5, 13, 
2024/3/7, 77, 62, , 6, 13, 
2024/3/8, 115, 60, , 5, 12, 
2024/3/9, 107, 21, , 3, 11, 
2024/3/10, 31, 16, , 5, 12, 
2024/3/11, 25, 40, , 6, 13, 
2024/3/12, 71, 43, , 3, 11, 
2024/3/13, 66, 17, , 2, 11, 
2024/3/14, 25, 37, , 2, 12, 
2024/3/15, 59, 42, , 2, 11, 
2024/3/16, 64, 51, , 2, 12, 
2024/3/17, 79, 54, , 2, 11, 
2024/3/18, 64, 20, , 2, 11, 
2024/3/19, 30, 16, , 4, 12, 
2024/3/20, 25, 32, , 2, 13, 
2024/3/21, 52, 52, , 2, 13, 
2024/3/22, 85, 38, , 1, 12, 
2024/3/23, 59, 36, , 1, 12, 
2024/3/24, 57, 34, , 3, 12, 
2024/3/25, 55, 31, , 3, 13, 
2024/3/26, 47, 46, , 3, 13, 
2024/3/27, 76, 34, , 3, 12, 
2024/3/28, 52, 27, , 1, 13, 
2024/3/29, 43, 35, , 1, 13, 
2024/3/30, 55, 45, , 1, 13, 
2024/3/31, 75, 50, , 1, 13, 
2023/10/1, 33, 25, , 4, 5, 3
2023/10/2, 40, 34, , 7, 5, 5
2023/10/3, 55, 35, , 6, 5, 4
2023/10/4, 57, 26, , 6, 5, 4
2023/10/5, 42, 27, , 4, 5, 2
2023/10/6, 43, 17, , 3, 5, 3
2023/10/7, 25, 12, , 3, 6, 3
2023/10/8, 15, 18, , 4, 6, 3
2023/10/9, 31, 17, , 4, 6, 3
2023/10/10, 28, 16, , 5, 6, 3
2023/10/11, 27, 22, , 5, 7, 4
2023/10/12, 35, 22, , 4, 6, 3
2023/10/13, 35, 28, , 4, 6, 3
2023/10/14, 45, 9, , 3, 6, 3
2023/10/15, 14, 23, , 6, 6, 4
2023/10/16, 35, 33, , 7, 6, 4
2023/10/17, 53, 39, , 7, 6, 
2023/10/18, 66, 35, , 5, 6, 
2023/10/19, 56, 21, , 3, 6, 
2023/10/20, 35, 11, , 4, 7, 
2023/10/21, 19, 24, , 5, 8, 
2023/10/22, 41, 32, , 6, 7, 
2023/10/23, 56, 51, , 6, 7, 
2023/10/24, 83, 37, , 4, 6, 
2023/10/25, 61, 29, , 6, 7, 
2023/10/26, 47, 37, , 6, 8, 
